residential_status,loan_rate,loan_amount,loan_purpose,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months,loan_approval_status
Renter,6.54,4725.0,Health,0.0,2,26,27600,Excellent,,0.17,C,32.0,Approved
Mortgage,12.42,12000.0,Debt Consolidation,7.0,2,23,35000,Very Good,No,0.34,B,31.0,Approved
Renter,16.95,4500.0,Personal,2.0,10,34,45000,Poor,No,0.1,C,128.0,Declined
Renter,6.62,9000.0,Study,2.0,2,26,34320,Excellent,No,0.26,C,,Declined
Renter,5.99,9600.0,Home Improvement,6.0,4,25,37200,Excellent,No,0.26,C,49.0,Declined
Renter,7.49,7200.0,Health,4.0,10,29,26400,Excellent,No,0.27,C,129.0,Approved
Renter,11.89,4000.0,Health,2.0,17,37,29536,Very Good,No,0.14,C,206.0,Approved
Renter,13.11,4200.0,Debt Consolidation,8.0,2,24,15000,Good,Yes,0.28,C,34.0,Declined
Renter,14.96,12000.0,Personal,2.0,3,26,34000,Fair,No,0.35,C,46.0,Declined
Mortgage,8.9,12000.0,Personal,4.0,2,22,76800,Excellent,No,0.16,B,27.0,Approved
Owner,12.99,12000.0,Business,12.0,6,28,87600,Good,No,0.14,A,79.0,Approved
Renter,10.99,20000.0,Debt Consolidation,6.0,4,22,69000,Very Good,No,0.29,C,59.0,Declined
Renter,11.49,8500.0,Debt Consolidation,5.0,2,21,44000,Very Good,,0.19,C,28.0,Declined
Renter,7.9,7100.0,Personal,1.0,2,23,25000,Excellent,No,0.28,C,27.0,Approved
Mortgage,10.74,5500.0,Home Improvement,9.0,2,25,60000,Very Good,No,0.09,B,35.0,Approved
Renter,14.27,1072021650.0000001,Study,3.0,3,26,90000,Good,No,0.09,C,41.0,Approved
Mortgage,13.92,6000.0,Personal,7.0,3,24,96000,Good,No,0.06,B,45.0,Approved
Renter,14.22,5500.0,Personal,2.0,17,46,60070,Good,Yes,0.09,C,206.0,Approved
Renter,9.91,2400.0,Business,2.0,16,37,45000,Very Good,No,0.05,C,201.0,Approved
Renter,,4000.0,Study,6.0,2,22,36000,Very Good,No,0.11,C,34.0,Approved
Mortgage,12.09,7000.0,Study,9.0,2,25,48000,Good,Yes,0.15,B,25.0,Approved
Renter,7.9,8000.0,Personal,11.0,9,27,36672,Excellent,No,0.22,C,110.0,Declined
Renter,12.18,4500.0,Personal,0.0,4,24,74000,Very Good,No,0.06,C,59.0,Approved
Renter,6.39,3000.0,Health,0.0,4,25,55000,Excellent,No,0.05,C,56.0,Approved
Mortgage,6.54,20000.0,Home Improvement,7.0,4,24,140000,Excellent,No,0.14,B,59.0,Approved
Mortgage,5.42,2000.0,Business,4.0,3,23,94940,Excellent,No,0.02,B,39.0,Approved
Renter,8.9,1608032475.0000002,Personal,2.0,10,28,73200,Excellent,No,0.16,C,124.0,Approved
Mortgage,11.97,13000.0,Health,10.0,3,26,50000,Good,Yes,0.26,B,40.0,Approved
Renter,14.96,10000.0,Personal,0.0,9,29,54000,Fair,No,0.19,C,115.0,Declined
Renter,9.99,5600.0,Debt Consolidation,0.0,7,29,60000,Very Good,No,0.09,C,87.0,Approved
Renter,12.69,3000.0,Business,2.0,5,29,18000,Very Good,No,0.17,C,71.0,Declined
Renter,7.51,6500.0,Health,7.0,3,26,28000,Excellent,No,0.23,C,38.0,Approved
Mortgage,5.42,12000.0,Business,14.0,9,29,150000,Excellent,,0.08,B,116.0,Approved
Owner,13.92,21600.0,Home Improvement,2.0,11,41,95000,Good,Yes,0.23,A,140.0,Approved
Renter,6.17,10000.0,Debt Consolidation,6.0,3,22,42000,Excellent,No,0.24,C,37.0,Approved
Renter,6.62,11200.0,Personal,6.0,4,22,61200,Excellent,No,0.18,C,51.0,Approved
Mortgage,19.91,2400.0,Home Improvement,18.0,7,34,138000,Poor,Yes,0.02,B,85.0,Declined
Mortgage,8.49,20000.0,Health,9.0,4,25,63000,Excellent,No,0.32,B,50.0,Approved
Renter,11.36,15000.0,Home Improvement,5.0,8,31,200000,Very Good,No,0.07,C,100.0,Approved
Mortgage,17.19,8000.0,Study,3.0,5,27,150000,Poor,Yes,0.05,B,63.0,Approved
Renter,15.31,12000.0,Personal,3.0,3,25,50004,Fair,Yes,0.24,C,37.0,Approved
Mortgage,11.11,20000.0,Study,2.0,5,30,78000,Very Good,No,0.26,B,71.0,Approved
Renter,12.53,15000.0,Personal,1.0,4,25,86004,Good,Yes,0.17,C,59.0,Approved
Mortgage,7.14,5000.0,Health,,2,24,60000,Excellent,No,0.08,B,27.0,Approved
Renter,10.59,4200.0,Personal,6.0,14,37,48000,Very Good,No,0.09,C,171.0,Approved
Renter,7.14,6000.0,Health,3.0,3,25,19200,Excellent,No,0.31,C,43.0,Declined
Renter,9.88,14000.0,Personal,0.0,2,26,37000,Very Good,No,0.38,C,29.0,Declined
Renter,,22000.0,Study,1.0,2,22,66000,Very Poor,No,0.33,C,31.0,Declined
Renter,7.51,4000.0,Study,3.0,2,21,40000,Excellent,,0.1,C,34.0,Approved
Mortgage,11.71,4000.0,Home Improvement,11.0,6,27,106000,Very Good,No,0.04,B,73.0,Approved
Renter,15.33,9500.0,Debt Consolidation,0.0,3,22,27000,Fair,Yes,0.35,C,45.0,Declined
Owner,13.8,9000.0,Personal,5.0,27,60,60000,Good,No,0.15,A,334.0,Approved
Mortgage,16.0,13000.0,Personal,5.0,2,22,34977,Fair,No,0.37,B,33.0,Approved
Mortgage,11.11,9000.0,Business,2.0,4,22,110000,Very Good,No,0.08,B,54.0,Approved
Mortgage,7.49,7000.0,Personal,0.0,9,27,120000,Excellent,No,0.06,B,117.0,Approved
Owner,11.89,1800.0,Business,2.0,4,22,24449,Very Good,No,0.07,A,57.0,Approved
Mortgage,7.74,5000.0,Health,0.0,2,24,30300,Excellent,No,0.17,B,30.0,Approved
Mortgage,14.26,3600.0,Business,5.0,7,29,195000,Good,,0.02,B,92.0,Declined
Renter,14.22,4500.0,Business,5.0,8,27,60000,Good,No,0.07,C,105.0,Approved
Renter,6.62,6000.0,Health,3.0,20,69,24000,Excellent,No,0.25,C,249.0,Approved
Mortgage,13.57,10000.0,Home Improvement,7.0,4,26,108000,Good,No,0.09,B,53.0,Approved
Renter,7.88,17000.0,Study,6.0,8,35,48000,Excellent,No,0.35,C,103.0,Declined
Mortgage,9.63,574297312.5,Debt Consolidation,1.0,4,26,64992,Excellent,No,0.06,B,56.0,Approved
Renter,8.9,7500.0,Business,8.0,13,36,55000,Excellent,No,0.14,C,162.0,Approved
Renter,16.0,20000.0,Health,11.0,5,27,83300,Fair,Yes,0.2,C,67.0,Declined
Renter,6.62,11100.0,Personal,1.0,4,22,30000,Excellent,No,0.37,C,57.0,Declined
Mortgage,10.99,12000.0,Personal,5.0,3,24,115800,Very Good,No,0.1,B,43.0,Approved
Renter,15.28,3500.0,Debt Consolidation,10.0,3,26,68004,Fair,Yes,0.05,C,42.0,Declined
Mortgage,12.99,7000.0,Study,6.0,2,23,60000,Good,Yes,0.12,B,34.0,Approved
Mortgage,14.27,10400.0,Business,4.0,2,25,45000,Good,Yes,0.23,B,,Approved
Renter,7.9,6000.0,Business,0.0,3,24,57000,Excellent,No,0.11,C,43.0,Approved
Renter,9.88,2000.0,Study,3.0,3,25,50450,Very Good,No,0.04,C,45.0,Approved
Renter,11.36,7200.0,Debt Consolidation,6.0,3,25,48000,Very Good,,0.15,C,43.0,Approved
Renter,5.99,8450.0,Business,7.0,16,39,30000,Excellent,,0.28,C,198.0,Approved
Renter,6.62,5600.0,Personal,5.0,2,21,55692,Excellent,No,0.1,C,26.0,Approved
Mortgage,14.72,4800.0,Business,0.0,15,36,136000,Good,No,0.04,B,186.0,Approved
Renter,,10000.0,Business,4.0,7,27,40000,Fair,No,0.25,C,93.0,Approved
Owner,13.24,15000.0,Business,7.0,3,23,46776,Fair,No,0.32,A,46.0,Approved
Renter,11.99,3200.0,Business,1.0,2,22,31200,Very Good,No,0.1,C,27.0,Approved
Mortgage,8.7,17000.0,Personal,1.0,12,37,55900,Very Good,No,0.3,B,153.0,Approved
Mortgage,11.86,7500.0,Business,9.0,3,25,129996,Very Good,No,0.06,B,42.0,Approved
Renter,10.37,2500.0,Personal,6.0,14,42,26568,Very Good,No,0.09,C,176.0,Approved
Renter,8.0,4000.0,Study,0.0,9,34,48000,Excellent,No,0.08,C,116.0,Approved
Mortgage,5.99,12000.0,Home Improvement,3.0,4,25,30000,Excellent,No,0.4,B,59.0,Declined
Renter,6.54,20000.0,Debt Consolidation,0.0,9,27,90000,Excellent,No,0.22,C,118.0,Approved
Renter,6.54,10000.0,Debt Consolidation,3.0,10,27,55812,Excellent,No,0.18,C,121.0,Approved
Renter,15.58,1545816932.8125,Business,5.0,2,21,43000,Fair,No,0.2,C,29.0,Approved
Renter,13.98,4800.0,Personal,7.0,2,22,32400,Good,,0.15,C,31.0,Declined
Renter,9.99,1700.0,Debt Consolidation,2.0,3,23,18600,Very Good,No,0.09,C,44.0,Approved
Mortgage,11.83,24000.0,Debt Consolidation,8.0,6,31,63324,Very Good,No,0.38,B,74.0,Approved
Renter,,12000.0,Health,5.0,7,28,36888,Good,Yes,0.33,C,86.0,Declined
Renter,8.9,8500.0,Study,1.0,4,25,47000,Excellent,No,0.18,C,54.0,Approved
Renter,9.99,10000.0,Study,0.0,2,22,140000,Very Good,No,0.07,C,26.0,Approved
Renter,7.51,9000.0,Study,4.0,2,23,26976,Excellent,,0.33,C,34.0,Declined
Mortgage,15.33,5000.0,Study,3.0,2,22,19200,Fair,Yes,0.26,B,28.0,Declined
Owner,12.42,14000.0,Home Improvement,6.0,10,28,52000,Very Good,,0.27,A,127.0,Approved
Renter,17.14,24000.0,Debt Consolidation,0.0,5,27,47000,Poor,No,0.51,C,67.0,Declined
Renter,12.73,12800.0,Business,3.0,4,22,44400,Good,No,0.29,C,58.0,Approved
Renter,10.37,1000.0,Debt Consolidation,11.0,7,27,51298,Very Good,No,0.02,C,87.0,Approved
Renter,7.51,9600.0,Study,10.0,2,25,49000,Excellent,No,0.2,C,29.0,Declined
Renter,13.47,13000.0,Health,1.0,2,24,45996,Good,Yes,0.28,C,25.0,Declined
Renter,12.73,24000.0,Personal,5.0,4,26,100000,Good,,0.24,C,59.0,Approved
Renter,7.05,2000.0,Business,7.0,3,23,45000,Excellent,No,0.04,C,43.0,Approved
Renter,12.53,10000.0,Debt Consolidation,3.0,8,33,21600,Very Good,No,0.46,C,,Declined
Renter,6.99,5000.0,Health,6.0,10,35,42000,Excellent,,0.12,C,124.0,Approved
Owner,14.42,2400.0,Debt Consolidation,0.0,8,31,25000,Fair,Yes,0.1,A,,Approved
Renter,15.23,8000.0,Home Improvement,2.0,2,24,46500,Good,Yes,0.17,C,32.0,Declined
Mortgage,11.14,20000.0,Business,0.0,9,31,120000,Very Good,No,0.17,B,117.0,Approved
Renter,6.62,3000.0,Health,3.0,3,22,22800,Excellent,No,0.13,C,46.0,Approved
Renter,11.99,1800.0,Health,5.0,3,23,33195,Very Good,No,0.05,C,45.0,Approved
Renter,17.99,4800.0,Health,6.0,4,26,52000,Poor,,0.09,C,,Declined
Mortgage,12.53,24800.0,Health,8.0,5,32,87000,Very Good,No,0.29,B,,Approved
Renter,15.7,16000.0,Personal,5.0,4,21,52000,Fair,No,0.31,C,54.0,Declined
Renter,11.49,4800.0,Debt Consolidation,0.0,7,29,59004,Very Good,No,0.08,C,89.0,Declined
Renter,8.9,6000.0,Debt Consolidation,3.0,9,31,36000,Excellent,,0.17,C,110.0,Approved
Mortgage,10.38,12000.0,Debt Consolidation,3.0,10,30,55000,Very Good,No,0.22,B,127.0,Approved
Renter,7.29,3500.0,Study,1.0,4,24,74400,Excellent,No,0.05,C,58.0,Approved
Renter,12.42,7200.0,Health,6.0,7,33,49000,Very Good,No,0.15,C,93.0,Approved
Mortgage,11.49,9000.0,Study,14.0,5,30,98000,Very Good,No,0.09,B,62.0,Declined
Renter,5.79,7000.0,Study,5.0,3,21,41000,Excellent,No,0.17,C,,Approved
Owner,5.42,3000.0,Health,6.0,3,22,47000,Excellent,No,0.06,A,42.0,Approved
Renter,13.57,10000.0,Home Improvement,14.0,6,34,60000,Good,,0.17,C,75.0,Approved
Mortgage,7.88,10000.0,Personal,2.0,5,29,85000,Excellent,No,0.12,B,62.0,Approved
Renter,15.7,13000.0,Business,2.0,3,21,24000,Fair,Yes,0.54,C,41.0,Declined
Mortgage,6.99,5000.0,Business,5.0,4,22,42000,Excellent,No,0.12,B,52.0,Approved
Mortgage,14.26,15000.0,Home Improvement,0.0,4,24,130000,Good,Yes,0.12,B,,Approved
Mortgage,16.4,6625.0,Study,2.0,5,33,36000,Poor,No,0.18,B,69.0,Approved
Owner,16.29,15000.0,Debt Consolidation,5.0,4,24,50000,Fair,,0.3,A,50.0,Approved
Mortgage,13.49,8450.0,Debt Consolidation,3.0,2,25,93080,Good,Yes,0.09,B,28.0,Approved
Renter,6.62,4500.0,Health,2.0,11,38,42000,Excellent,,0.11,C,134.0,Approved
Mortgage,14.27,6000.0,Health,2.0,6,32,62217,Good,Yes,0.1,B,78.0,Approved
Mortgage,6.03,10000.0,Study,5.0,3,21,65000,Excellent,No,0.15,B,41.0,Approved
Mortgage,14.38,25000.0,Business,1.0,3,22,74000,Poor,Yes,0.34,B,38.0,Declined
Renter,15.58,7500.0,Business,5.0,3,23,90000,Fair,Yes,0.08,C,45.0,Approved
Renter,7.43,3000.0,Personal,7.0,2,23,72000,Excellent,,0.04,C,,Approved
Mortgage,16.07,2800.0,Debt Consolidation,1.0,3,23,24000,Fair,No,0.12,B,44.0,Declined
Renter,,1400.0,Debt Consolidation,2.0,8,31,54000,Excellent,No,0.03,C,102.0,Approved
Renter,11.83,25000.0,Personal,5.0,3,22,49464,Very Good,No,0.51,C,44.0,Declined
Mortgage,6.54,20000.0,Health,2.0,4,24,82000,Excellent,No,0.24,B,52.0,Approved
Renter,11.86,15000.0,Home Improvement,3.0,2,24,90000,Very Good,No,0.17,C,30.0,Approved
Mortgage,6.62,13000.0,Debt Consolidation,8.0,13,37,80000,Excellent,No,0.16,B,166.0,Approved
Renter,6.17,10000.0,Debt Consolidation,6.0,4,24,68750,Excellent,No,0.15,C,55.0,Approved
Owner,10.62,5000.0,Personal,3.0,10,32,74000,Very Good,No,0.07,A,129.0,Approved
Mortgage,,8450.0,Home Improvement,13.0,9,28,50000,Very Good,No,0.17,B,113.0,Approved
Renter,,12800.0,Health,4.0,4,24,77385,Excellent,No,0.17,C,53.0,Approved
Owner,11.49,3500.0,Business,5.0,3,22,43000,Very Good,,0.08,A,45.0,Approved
Mortgage,13.49,25000.0,Debt Consolidation,14.0,5,34,160000,Good,No,0.16,B,61.0,Approved
Mortgage,9.96,12000.0,Health,10.0,10,27,100000,Very Good,No,0.12,B,,Approved
Renter,15.05,9000.0,Health,8.0,2,24,70550,Fair,Yes,0.11,C,29.0,Declined
Renter,7.66,9450.0,Personal,2.0,2,24,33600,Excellent,,0.28,C,29.0,Declined
Mortgage,,9600.0,Personal,0.0,5,29,78000,Very Good,No,0.12,B,67.0,Approved
Mortgage,11.14,5300.0,Business,3.0,5,28,100000,Very Good,No,0.05,B,,Approved
Renter,13.49,14300.0,Study,5.0,8,32,30000,Good,No,0.48,C,,Declined
Renter,11.83,9000.0,Health,10.0,11,38,36000,Very Good,No,0.25,C,141.0,Approved
Renter,7.51,2500.0,Debt Consolidation,0.0,2,23,35000,Excellent,No,0.07,C,30.0,Approved
Mortgage,18.64,7000.0,Business,6.0,3,25,54000,Poor,No,0.13,B,43.0,Approved
Renter,,4500.0,Study,0.0,6,29,41700,Excellent,No,0.11,C,80.0,Approved
Mortgage,6.62,10000.0,Business,8.0,3,24,98000,Excellent,No,0.1,B,40.0,Approved
Mortgage,8.9,7000.0,Health,2.0,3,21,23000,Excellent,No,0.3,B,47.0,Approved
Mortgage,8.9,8000.0,Debt Consolidation,4.0,10,27,52000,Excellent,No,0.15,B,128.0,Approved
Renter,9.99,6475.0,Health,2.0,30,66,42000,Very Good,No,0.15,C,368.0,Approved
Mortgage,6.62,4500.0,Debt Consolidation,8.0,3,24,40000,Excellent,No,0.11,B,41.0,Approved
Renter,15.58,8700.0,Personal,2.0,10,30,32004,Fair,No,0.27,C,125.0,Declined
Renter,16.0,6000.0,Debt Consolidation,2.0,4,24,59000,Fair,No,0.1,C,59.0,Declined
Renter,13.43,5000.0,Business,0.0,14,44,48000,Good,No,0.1,C,179.0,Approved
Owner,13.57,4307229843.75,Business,0.0,9,31,86500,Good,No,0.29,A,115.0,Approved
Mortgage,11.49,5500.0,Debt Consolidation,5.0,5,28,35496,Very Good,No,0.15,B,71.0,Approved
Mortgage,10.74,24000.0,Study,1.0,3,26,74000,Very Good,No,0.32,B,46.0,Declined
Mortgage,7.51,8675.0,Study,3.0,4,24,42000,Excellent,No,0.21,B,56.0,Approved
Mortgage,10.95,9600.0,Debt Consolidation,1.0,4,25,154008,Very Good,No,0.06,B,58.0,Approved
Mortgage,,16000.0,Business,9.0,10,31,85000,Fair,Yes,0.19,B,130.0,Approved
Renter,7.88,7100.0,Health,1.0,10,27,41200,Excellent,No,0.17,C,121.0,Approved
Owner,11.14,4000.0,Study,4.0,10,27,58000,Very Good,No,0.07,A,127.0,Approved
Mortgage,11.49,10000.0,Study,6.0,2,22,86000,Very Good,No,0.12,B,27.0,Approved
Mortgage,11.71,8000.0,Debt Consolidation,5.0,3,25,56004,Very Good,No,0.14,B,40.0,Declined
Renter,,28000.0,Study,6.0,4,22,108000,Very Good,No,0.26,C,,Declined
Mortgage,8.32,3500.0,Debt Consolidation,16.0,9,32,41464,Excellent,No,0.08,B,119.0,Approved
Renter,,8000.0,Study,9.0,10,34,35000,Excellent,No,0.23,C,122.0,Approved
Mortgage,6.62,9000.0,Study,7.0,4,23,98400,Excellent,No,0.09,B,51.0,Approved
Mortgage,12.21,3500.0,Study,7.0,3,23,40000,Very Good,No,0.09,B,43.0,Approved
Mortgage,18.67,16000.0,Study,3.0,10,33,54000,Very Poor,Yes,0.3,B,121.0,Declined
Renter,14.26,4200.0,Personal,1.0,2,25,24996,Good,,0.17,C,26.0,Approved
Renter,10.39,12000.0,Study,6.0,2,22,31200,Very Good,No,0.38,C,26.0,Declined
Renter,6.92,2000.0,Study,3.0,2,23,34884,Excellent,No,0.06,C,27.0,Approved
Renter,17.49,11200.0,Study,15.0,5,33,55259,Fair,No,0.2,C,,Approved
Mortgage,13.49,11625.0,Study,0.0,2,22,36000,Good,No,0.32,B,35.0,Approved
Renter,5.42,10800.0,Study,5.0,13,41,69350,Excellent,No,0.16,C,161.0,Approved
Owner,11.83,23000.0,Business,12.0,5,28,160000,Very Good,No,0.14,A,69.0,Approved
Renter,9.91,6500.0,Health,1.0,7,34,38400,Very Good,No,0.17,C,92.0,Approved
Renter,,5000.0,Business,6.0,2,22,41000,Excellent,No,0.12,C,35.0,Approved
Renter,8.59,7000.0,Health,0.0,10,35,90000,Excellent,,0.08,C,128.0,Approved
Owner,11.83,23000.0,Personal,12.0,8,28,160000,Very Good,No,0.14,A,105.0,Approved
Renter,11.36,7500.0,Debt Consolidation,0.0,4,24,40000,Very Good,No,0.19,C,56.0,Approved
Mortgage,15.62,9000.0,Study,9.0,4,25,72000,Fair,No,0.13,B,51.0,Approved
Renter,10.74,11000.0,Debt Consolidation,2.0,3,22,59000,Very Good,,0.19,C,42.0,Approved
Mortgage,7.88,6000.0,Personal,6.0,4,22,51996,Excellent,No,0.12,B,,Approved
Owner,16.32,1000.0,Health,4.0,2,24,22320,Poor,No,0.04,A,30.0,Declined
Renter,14.61,20000.0,Debt Consolidation,4.0,11,40,45996,Fair,No,0.43,C,137.0,Declined
Mortgage,16.0,15000.0,Study,7.0,2,23,100000,Fair,Yes,0.15,B,29.0,Approved
Owner,9.62,6400.0,Personal,0.0,4,22,53947,Very Good,,0.12,A,56.0,Approved
Renter,,3000.0,Study,2.0,3,22,45000,Excellent,No,0.07,C,47.0,Approved
Renter,11.49,1000.0,Personal,5.0,5,30,22800,Very Good,No,0.04,C,69.0,Approved
Owner,6.03,15000.0,Study,11.0,6,27,57000,Excellent,,0.26,A,79.0,Approved
Mortgage,6.03,3000.0,Health,6.0,2,25,80000,Excellent,,0.04,B,32.0,Approved
Mortgage,9.63,6800.0,Study,8.0,4,25,95000,Very Good,No,0.07,B,52.0,Approved
Mortgage,6.99,7000.0,Health,10.0,2,26,25000,Excellent,No,0.28,B,30.0,Approved
Mortgage,5.79,12000.0,Personal,9.0,2,25,70000,Excellent,No,0.17,B,34.0,Approved
Mortgage,11.99,16000.0,Study,6.0,3,22,80000,Very Good,No,0.2,B,43.0,Approved
Renter,10.59,16000.0,Debt Consolidation,6.0,4,22,45000,Very Good,No,0.36,C,50.0,Declined
Renter,10.96,382864875.0,Debt Consolidation,3.0,4,23,33000,Very Good,No,0.12,C,51.0,Approved
Renter,5.42,5000.0,Business,5.0,3,21,27000,Excellent,No,0.19,C,45.0,Approved
Owner,6.17,3000.0,Health,9.0,4,25,45000,Excellent,,0.07,A,53.0,Approved
Owner,17.58,15000.0,Debt Consolidation,,3,25,62400,Fair,No,0.24,A,40.0,Approved
Mortgage,17.27,3600.0,Debt Consolidation,7.0,4,22,38004,Fair,No,0.09,B,52.0,Declined
Renter,,4500.0,Study,0.0,8,28,54000,Good,Yes,0.08,C,106.0,Declined
Renter,15.95,20000.0,Personal,2.0,4,25,74004,Poor,,0.27,C,54.0,Declined
Mortgage,12.53,20000.0,Personal,2.0,3,25,111262,Very Good,No,0.18,B,,Approved
Renter,10.99,4000.0,Health,8.0,2,23,55000,Very Good,No,0.07,C,35.0,Approved
Renter,10.65,3000.0,Business,0.0,8,35,30000,Very Good,,0.1,C,101.0,Approved
Mortgage,5.79,3800.0,Debt Consolidation,3.0,3,23,30000,Excellent,No,0.13,B,46.0,Approved
Renter,13.23,12000.0,Health,5.0,4,25,45600,Good,No,0.26,C,57.0,Approved
Owner,,9800.0,Business,8.0,4,26,60000,Excellent,No,0.16,A,55.0,Approved
Mortgage,11.89,14000.0,Home Improvement,2.0,7,27,32000,Very Good,No,0.44,B,89.0,Approved
Mortgage,10.25,24000.0,Debt Consolidation,0.0,6,33,100000,Very Good,No,0.24,B,79.0,Approved
Mortgage,11.58,25000.0,Business,3.0,3,26,105000,Very Good,No,0.24,B,37.0,Approved
Owner,,25000.0,Personal,,3,22,54000,Very Good,,0.46,A,46.0,Approved
Mortgage,,14400.0,Debt Consolidation,0.0,2,26,139992,Very Good,No,0.1,B,33.0,Approved
Renter,8.94,4700.0,Business,6.0,3,24,31776,Excellent,No,0.15,C,43.0,Approved
Mortgage,11.12,7000.0,Personal,6.0,3,22,51000,Very Good,No,0.14,B,42.0,Approved
Mortgage,14.79,34000.0,Study,2.0,16,37,250000,Good,No,0.14,B,199.0,Approved
Mortgage,7.4,1000.0,Health,5.0,2,23,30000,Excellent,No,0.03,B,26.0,Approved
Mortgage,,4200.0,Health,3.0,13,36,828000,Very Good,No,0.01,B,,Approved
Renter,14.26,22000.0,Business,3.0,2,24,60000,Good,,0.37,C,27.0,Declined
Renter,17.19,4000.0,Health,10.0,9,27,34000,Fair,Yes,0.12,C,,Declined
Renter,12.61,7500.0,Personal,1.0,2,23,36000,Fair,Yes,0.21,C,27.0,Declined
Renter,5.99,4200.0,Personal,5.0,10,30,85000,Excellent,No,0.05,C,131.0,Approved
Renter,,16800.0,Health,10.0,5,29,91000,Very Good,No,0.18,C,64.0,Approved
Renter,14.54,4125.0,Study,5.0,2,25,22812,Fair,Yes,0.18,C,30.0,Approved
Renter,9.01,7500.0,Home Improvement,1.0,11,43,19440,Very Good,No,0.39,C,137.0,Declined
Mortgage,7.9,2000.0,Personal,2.0,10,31,30000,Excellent,No,0.07,B,131.0,Approved
Renter,10.74,4000.0,Debt Consolidation,,3,22,34800,Very Good,No,0.11,C,42.0,Approved
Renter,11.83,13000.0,Debt Consolidation,5.0,4,22,39000,Very Good,No,0.33,C,50.0,Declined
Mortgage,14.27,10625.0,Home Improvement,12.0,6,28,25000,Good,Yes,0.42,B,75.0,Approved
Owner,10.95,20000.0,Personal,11.0,4,26,66948,Very Good,No,0.3,A,56.0,Approved
Renter,13.79,7000.0,Home Improvement,2.0,2,25,70000,Good,,0.1,C,,Approved
Mortgage,14.79,15000.0,Study,4.0,3,26,200000,Good,No,0.07,B,44.0,Approved
Renter,11.99,9600.0,Home Improvement,8.0,2,24,94837,Very Good,No,0.1,C,30.0,Approved
Renter,,7000.0,Debt Consolidation,3.0,6,29,50000,Very Good,No,0.14,C,79.0,Approved
Renter,14.79,1325.0,Business,5.0,3,25,51500,Good,No,0.03,C,42.0,Approved
Owner,12.53,8000.0,Business,1.0,6,27,39996,Very Good,No,0.2,A,79.0,Approved
Renter,8.94,8000.0,Study,2.0,3,23,60000,Excellent,No,0.13,C,41.0,Approved
Renter,10.2,3000.0,Health,0.0,15,39,55000,Very Good,No,0.05,C,181.0,Approved
Renter,11.99,1407028415.625,Health,6.0,8,33,38400,Very Good,No,0.27,C,105.0,Approved
Mortgage,9.91,3400.0,Business,6.0,7,29,125000,Very Good,No,0.03,B,95.0,Approved
Owner,14.61,1600.0,Personal,1.0,3,21,6000,Fair,,0.27,A,41.0,Declined
Owner,10.99,5000.0,Study,0.0,7,27,25000,Very Good,No,0.2,A,,Approved
Mortgage,7.88,5000.0,Health,6.0,2,22,48000,Excellent,No,0.1,B,29.0,Approved
Mortgage,7.51,6000.0,Study,0.0,2,22,66000,Excellent,,0.09,B,28.0,Approved
Mortgage,13.23,3600.0,Debt Consolidation,8.0,2,24,100000,Good,Yes,0.04,B,26.0,Approved
Mortgage,15.65,19800.0,Home Improvement,2.0,16,47,165000,Fair,,0.12,B,202.0,Approved
Renter,15.65,24250.0,Debt Consolidation,7.0,2,22,74000,Fair,Yes,0.33,C,26.0,Declined
Mortgage,8.9,4000.0,Personal,2.0,3,22,112000,Excellent,No,0.04,B,46.0,Approved
Renter,5.79,7000.0,Study,6.0,3,22,64000,Excellent,No,0.11,C,44.0,Approved
Renter,13.49,3600.0,Health,1.0,3,24,40000,Good,No,0.09,C,42.0,Approved
Renter,12.68,5000.0,Health,1.0,13,38,45000,Good,Yes,0.11,C,,Approved
Mortgage,8.94,6000.0,Personal,2.0,2,25,42000,Excellent,No,0.14,B,27.0,Approved
Renter,11.71,26000.0,Health,7.0,2,23,62500,Very Good,No,0.42,C,34.0,Declined
Renter,7.51,871017590.6250001,Health,2.0,4,24,37000,Excellent,No,0.19,C,59.0,Approved
Renter,11.49,5400.0,Study,3.0,3,26,24000,Very Good,,0.23,C,37.0,Approved
Mortgage,7.49,5600.0,Debt Consolidation,2.0,2,23,67000,Excellent,No,0.08,B,29.0,Approved
Mortgage,14.22,10000.0,Health,12.0,9,28,186480,Good,,0.05,B,116.0,Approved
Renter,6.03,3175.0,Study,1.0,4,21,28800,Excellent,No,0.11,C,58.0,Approved
Renter,,12250.0,Debt Consolidation,4.0,2,26,32000,Excellent,No,0.38,C,34.0,Declined
Renter,6.62,2000.0,Personal,2.0,14,43,85000,Excellent,No,0.02,C,177.0,Approved
Mortgage,13.98,6500.0,Home Improvement,4.0,10,32,55000,Good,No,0.12,B,121.0,Approved
Mortgage,,4800.0,Study,4.0,3,26,122000,Good,Yes,0.04,B,38.0,Approved
Mortgage,,10000.0,Debt Consolidation,7.0,7,30,70000,Excellent,No,0.14,B,91.0,Approved
Renter,,2150.0,Health,0.0,4,22,17772,Excellent,No,0.12,C,,Approved
Renter,10.74,5000.0,Home Improvement,9.0,3,25,63000,Very Good,,0.08,C,45.0,Approved
Renter,,12000.0,Business,3.0,4,26,65000,Fair,Yes,0.18,C,49.0,Approved
