residential_status,loan_rate,loan_amount,loan_purpose,loan_approval_status,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months
Renter,11.99,11000,Personal,Approved,3.0,10,35,90000,Very Good,No,0.12,C,124
Renter,11.49,14500,Health,Declined,,3,26,35000,Very Good,No,0.41,C,43
Renter,10.95,15000,Debt Consolidation,Approved,8.0,3,24,105000,Very Good,No,0.14,C,38
Mortgage,11.89,15000,Debt Consolidation,Approved,2.0,11,39,156000,Very Good,No,0.1,B,133
Mortgage,11.49,14100,Business,Approved,5.0,2,22,51900,Very Good,No,0.27,B,31
Mortgage,6.03,10000,Study,Approved,9.0,2,25,79992,Excellent,No,0.13,B,32
Mortgage,7.51,3100,Health,Declined,5.0,5,29,32000,Excellent,No,0.1,B,63
Mortgage,7.14,6000,Home Improvement,Approved,,4,25,50400,Excellent,No,0.12,B,51
Mortgage,10.0,8000,Home Improvement,Approved,9.0,2,25,50000,Very Good,No,0.16,B,30
Renter,11.36,6000,Debt Consolidation,Declined,0.0,16,38,32000,Very Good,No,0.19,C,199
Mortgage,9.91,6400,Study,Approved,3.0,4,24,40000,Very Good,No,0.16,B,58
Renter,9.88,10000,Debt Consolidation,Approved,2.0,8,28,103241,Very Good,No,0.1,C,100
Renter,,9000,Health,Declined,1.0,2,23,49029,Excellent,No,0.18,C,32
Mortgage,6.03,14400,Business,Approved,3.0,4,23,75000,Excellent,No,0.19,B,58
Renter,13.79,12000,Debt Consolidation,Declined,2.0,4,25,31008,Good,No,0.39,C,51
Mortgage,7.51,1000,Study,Approved,6.0,14,44,36000,Excellent,No,0.03,B,172
Renter,15.21,5000,Personal,Approved,4.0,9,27,32760,Fair,Yes,0.15,C,117
Renter,7.29,12375,Debt Consolidation,Approved,8.0,4,25,42000,Excellent,No,0.29,C,53
Owner,7.74,6000,Study,Approved,7.0,4,22,43000,Excellent,No,0.14,A,56
Mortgage,14.59,6000,Health,Declined,0.0,2,25,23920,Fair,Yes,0.25,B,30
Renter,14.42,15000,Home Improvement,Approved,7.0,2,24,100896,Fair,No,0.15,C,30
Mortgage,8.59,10000,Study,Approved,10.0,4,26,88500,Excellent,No,0.11,B,58
Mortgage,14.22,20000,Health,Approved,9.0,4,26,99000,Good,No,0.2,B,51
Mortgage,9.33,3275,Home Improvement,Approved,1.0,8,27,62000,Very Good,No,0.05,B,97
Renter,10.99,19200,Home Improvement,Approved,9.0,3,24,125000,Very Good,No,0.15,C,43
Renter,10.59,9250,Personal,Declined,1.0,10,35,34000,Very Good,No,0.27,C,126
Mortgage,10.37,10000,Personal,Approved,1.0,10,32,81000,Very Good,No,0.12,B,130
Mortgage,7.14,5000,Home Improvement,Approved,2.0,5,30,98000,Excellent,No,0.05,B,64
Mortgage,15.21,12000,Health,Declined,3.0,6,27,83300,Fair,No,0.12,B,79
Renter,13.8,10000,Health,Approved,6.0,10,29,48000,Good,No,0.21,C,131
Owner,12.87,6250,Business,Approved,1.0,9,28,29000,Good,Yes,0.22,A,116
Owner,10.59,35000,Business,Approved,14.0,5,30,300000,Very Good,No,0.12,A,70
Mortgage,9.99,25000,Personal,Approved,27.0,27,65,93000,Very Good,No,0.27,B,334
Mortgage,,2400,Personal,Approved,6.0,4,23,30000,Good,No,0.08,B,55
Renter,10.38,11000,Health,Approved,0.0,10,29,42000,Very Good,No,0.26,C,130
Renter,14.75,6400,Business,Approved,3.0,2,24,28000,Poor,No,0.23,C,32
Renter,6.62,6725,Debt Consolidation,Approved,8.0,2,23,70000,Excellent,No,0.1,C,31
Renter,12.92,25000,Personal,Approved,5.0,3,24,83000,Fair,Yes,0.3,C,44
Mortgage,,9000,Personal,Declined,2.0,14,37,79992,Good,Yes,0.11,B,178
Mortgage,13.48,5000,Health,Approved,6.0,10,35,48000,Good,Yes,0.1,B,128
Renter,7.51,3000,Debt Consolidation,Approved,1.0,2,23,60000,Excellent,No,0.05,C,34
Owner,8.49,3000,Personal,Approved,,14,36,33600,Excellent,No,0.09,A,179
Renter,13.93,5000,Business,Declined,2.0,4,23,32000,Poor,No,0.16,C,54
Renter,11.12,8000,Business,Declined,1.0,9,33,24000,Very Good,No,0.33,C,117
Renter,15.99,7800,Debt Consolidation,Declined,1.0,3,23,59004,Fair,Yes,0.13,C,45
Renter,14.59,6000,Study,Declined,3.0,4,22,15000,Fair,No,0.4,C,56
Renter,11.71,10000,Home Improvement,Approved,12.0,8,28,74000,Very Good,No,0.14,C,99
Renter,14.35,3500,Business,Approved,5.0,7,32,42000,Good,Yes,0.08,C,89
Renter,11.86,1500,Study,Approved,2.0,2,21,15600,Very Good,No,0.1,C,32
Mortgage,7.51,10000,Health,Approved,2.0,7,34,105000,Excellent,No,0.1,B,88
Renter,7.66,6000,Personal,Approved,11.0,7,27,40800,Excellent,No,0.15,C,86
Renter,10.95,20000,Home Improvement,Approved,2.0,9,31,96588,Very Good,No,0.21,C,110
Renter,11.71,6800,Health,Approved,7.0,25,80,64000,Very Good,No,0.11,C,303
Renter,13.23,3500,Personal,Approved,4.0,2,23,40000,Good,Yes,0.09,C,28
Owner,20.9,20500,Business,Declined,5.0,8,34,63000,Extremely Poor,Yes,0.33,A,106
Owner,5.79,13000,Study,Approved,9.0,2,24,35556,Excellent,No,0.37,A,34
Renter,11.58,20000,Business,Approved,3.0,3,23,78000,Very Good,No,0.26,C,42
Renter,9.99,4200,Health,Approved,2.0,7,31,31500,Very Good,No,0.13,C,87
Renter,7.51,10000,Personal,Approved,4.0,8,32,33078,Excellent,No,0.3,C,97
Owner,6.17,10000,Personal,Approved,5.0,13,36,38400,Excellent,No,0.26,A,163
Renter,,12000,Study,Declined,1.0,9,29,108000,Fair,No,0.11,C,111
Mortgage,,10000,Health,Approved,7.0,3,26,48000,Excellent,No,0.21,B,47
Renter,13.23,6000,Home Improvement,Approved,3.0,2,26,63000,Good,No,0.1,C,25
Mortgage,10.62,6500,Business,Approved,7.0,3,22,48000,Very Good,No,0.14,B,40
Renter,7.49,5000,Health,Approved,2.0,12,41,42000,Excellent,No,0.12,C,152
Renter,12.69,13000,Health,Declined,6.0,4,24,90100,Very Good,No,0.12,C,54
Renter,14.96,12000,Personal,Declined,2.0,3,26,34000,Fair,No,0.35,C,46
Mortgage,18.21,5000,Business,Declined,1.0,4,22,39000,Very Poor,Yes,0.13,B,54
Mortgage,6.03,17000,Health,Approved,5.0,4,24,61147,Excellent,No,0.28,B,58
Mortgage,14.65,15000,Study,Approved,11.0,6,27,100500,Good,No,0.15,B,78
Mortgage,15.65,22000,Personal,Approved,6.0,5,28,65000,Fair,No,0.34,B,69
Renter,10.62,7000,Health,Approved,1.0,3,25,30000,Very Good,No,0.23,C,42
Renter,6.91,10000,Home Improvement,Approved,1.0,2,26,50000,Excellent,No,0.2,C,32
Mortgage,,13000,Business,Approved,6.0,8,27,79000,Excellent,No,0.16,B,99
Mortgage,7.51,4800,Study,Approved,2.0,4,23,76500,Excellent,No,0.06,B,55
Owner,16.77,6700,Debt Consolidation,Approved,0.0,7,28,55000,Fair,Yes,0.12,A,86
Renter,15.65,20000,Personal,Declined,1.0,3,25,54000,Fair,Yes,0.37,C,39
Renter,12.17,12000,Debt Consolidation,Declined,1.0,4,25,24000,Fair,Yes,0.5,C,55
Mortgage,11.12,15000,Personal,Approved,3.0,5,31,201000,Very Good,No,0.07,B,71
Mortgage,14.79,3600,Home Improvement,Approved,3.0,12,44,76000,Good,Yes,0.05,B,149
Renter,11.86,7200,Study,Declined,7.0,4,23,25200,Very Good,No,0.29,C,56
Renter,6.92,2000,Study,Approved,3.0,2,23,34884,Excellent,No,0.06,C,27
Mortgage,10.99,4950,Personal,Approved,7.0,3,23,75000,Very Good,No,0.07,B,45
Mortgage,10.65,6000,Personal,Approved,6.0,4,24,87000,Very Good,No,0.07,B,54
Mortgage,,12000,Study,Approved,4.0,8,30,145000,Very Good,No,0.08,B,102
Renter,10.36,12000,Personal,Declined,0.0,7,29,30000,Very Good,No,0.4,C,85
Renter,12.99,5000,Business,Approved,3.0,4,22,71400,Good,Yes,0.07,C,49
Mortgage,6.76,9000,Personal,Approved,4.0,10,27,79000,Excellent,No,0.11,B,125
Renter,13.85,10000,Business,Declined,11.0,5,32,128000,Good,Yes,0.08,C,65
Renter,5.99,9600,Home Improvement,Declined,6.0,4,25,37200,Excellent,No,0.26,C,49
Renter,,3000,Health,Approved,9.0,4,26,71000,Very Good,No,0.04,C,58
Renter,,8000,Home Improvement,Declined,4.0,2,24,39000,Good,No,0.21,C,26
Renter,7.88,3000,Health,Approved,1.0,3,24,57000,Excellent,No,0.05,C,43
Mortgage,6.62,12000,Study,Approved,6.0,15,40,55000,Excellent,No,0.22,B,186
Mortgage,11.86,2700,Health,Approved,4.0,3,23,54000,Very Good,No,0.05,B,44
Renter,12.68,15000,Debt Consolidation,Approved,7.0,3,25,72000,Good,No,0.21,C,40
Renter,11.99,32000,Personal,Declined,0.0,9,28,73000,Very Good,No,0.44,C,114
Mortgage,5.42,9600,Debt Consolidation,Approved,6.0,3,23,49000,Excellent,No,0.2,B,37
Mortgage,8.49,8000,Health,Declined,1.0,10,29,71400,Excellent,No,0.1,B,125
Mortgage,20.16,25000,Personal,Declined,1.0,8,29,54000,Extremely Poor,Yes,0.46,B,99
Mortgage,9.88,1600,Personal,Approved,2.0,2,23,87500,Very Good,No,0.02,B,34
Renter,5.99,8000,Personal,Approved,4.0,3,24,110000,Excellent,No,0.07,C,38
Renter,9.07,3000,Study,Declined,1.0,2,22,58170,Excellent,No,0.05,C,30
Renter,6.54,10000,Health,Declined,5.0,4,24,26400,Excellent,No,0.38,C,51
Renter,10.59,3600,Study,Approved,7.0,3,23,65000,Very Good,No,0.06,C,43
Renter,7.49,8500,Debt Consolidation,Declined,1.0,12,39,24000,Excellent,No,0.35,C,145
Mortgage,14.22,7750,Personal,Declined,8.0,6,28,92000,Good,No,0.08,B,79
Renter,,10000,Debt Consolidation,Declined,4.0,10,27,44004,Fair,Yes,0.23,C,122
Mortgage,8.88,15000,Personal,Approved,5.0,15,43,43000,Very Good,No,0.35,B,191
Mortgage,10.99,11000,Business,Approved,8.0,3,24,92000,Very Good,No,0.12,B,39
Mortgage,16.02,8000,Personal,Approved,4.0,10,30,112000,Fair,Yes,0.07,B,121
Renter,6.99,10000,Personal,Approved,3.0,5,29,58000,Excellent,No,0.17,C,61
Renter,10.65,14000,Personal,Approved,2.0,10,27,56000,Very Good,No,0.25,C,123
Renter,14.17,2800,Personal,Declined,5.0,2,24,44000,Good,No,0.06,C,28
Mortgage,10.59,30000,Personal,Approved,4.0,8,31,275000,Very Good,No,0.11,B,101
Renter,7.49,4000,Health,Approved,1.0,5,31,52000,Excellent,No,0.08,C,71
Mortgage,6.91,12000,Study,Approved,8.0,11,46,40000,Excellent,No,0.3,B,136
Mortgage,9.99,5000,Home Improvement,Approved,6.0,2,26,60000,Very Good,No,0.08,B,32
Owner,12.73,4750,Home Improvement,Approved,,14,38,26400,Good,Yes,0.18,A,177
Renter,,8000,Study,Declined,0.0,2,22,24000,Excellent,No,0.33,C,25
Renter,7.29,10000,Debt Consolidation,Approved,,4,24,50000,Excellent,No,0.2,C,58
Mortgage,8.0,5000,Home Improvement,Approved,4.0,4,24,90000,Excellent,No,0.06,B,58
Renter,7.14,8000,Business,Approved,9.0,2,26,67000,Excellent,No,0.12,C,30
Renter,12.73,7000,Debt Consolidation,Approved,3.0,2,23,28685,Good,No,0.24,C,28
Renter,10.59,6000,Personal,Approved,0.0,5,28,50000,Very Good,No,0.12,C,64
Renter,6.54,2000,Health,Approved,2.0,10,27,26400,Excellent,No,0.08,C,124
Mortgage,12.53,5400,Personal,Approved,3.0,4,26,70000,Good,No,0.08,B,49
Mortgage,7.51,15000,Health,Approved,8.0,2,24,75000,Excellent,No,0.2,B,32
Renter,,17000,Study,Declined,6.0,9,30,55000,Very Good,No,0.31,C,111
Mortgage,7.88,6000,Business,Approved,6.0,3,24,70000,Excellent,No,0.09,B,43
Renter,6.54,3200,Personal,Approved,3.0,4,21,45000,Excellent,No,0.07,C,50
Mortgage,15.65,4000,Health,Declined,3.0,17,37,49000,Fair,No,0.08,B,208
Renter,14.96,6000,Home Improvement,Declined,2.0,3,24,42000,Fair,Yes,0.14,C,44
Mortgage,,12300,Debt Consolidation,Approved,6.0,10,34,65000,Excellent,No,0.19,B,122
Renter,8.59,10000,Debt Consolidation,Approved,3.0,15,38,38000,Excellent,No,0.26,C,183
Renter,15.62,3000,Home Improvement,Declined,4.0,7,27,36000,Fair,No,0.08,C,93
Renter,,7200,Business,Approved,8.0,10,27,84000,Good,No,0.09,C,130
Renter,10.83,18200,Debt Consolidation,Declined,1.0,14,42,45000,Very Good,No,0.4,C,169
Renter,9.45,1000,Study,Approved,0.0,12,38,61000,Very Good,No,0.02,C,155
Mortgage,10.25,5000,Personal,Approved,22.0,17,50,116000,Very Good,No,0.04,B,210
Renter,13.06,8075,Health,Approved,4.0,3,22,54000,Good,No,0.15,C,40
Renter,16.29,8000,Business,Declined,5.0,3,21,44000,Fair,No,0.18,C,42
Renter,10.99,10000,Health,Approved,2.0,4,25,39996,Very Good,No,0.25,C,49
Mortgage,7.14,7000,Business,Approved,5.0,2,22,45691,Excellent,No,0.15,B,31
Owner,10.74,7200,Business,Approved,10.0,4,26,117000,Very Good,No,0.06,A,56
Renter,13.35,19750,Health,Declined,0.0,14,36,45000,Good,No,0.44,C,176
Mortgage,7.29,9800,Study,Approved,,4,23,27600,Excellent,No,0.36,B,53
Renter,8.49,3850,Debt Consolidation,Approved,5.0,4,23,48500,Excellent,No,0.08,C,50
Renter,14.91,1800,Health,Declined,11.0,17,39,44000,Fair,No,0.04,C,211
Mortgage,15.99,12500,Study,Approved,1.0,4,23,135000,Fair,No,0.09,B,56
Mortgage,12.42,9100,Debt Consolidation,Approved,6.0,7,35,66000,Very Good,No,0.14,B,86
Mortgage,7.88,10000,Study,Approved,6.0,3,22,90000,Excellent,No,0.11,B,41
Mortgage,9.83,8000,Study,Approved,3.0,3,24,36000,Very Good,No,0.22,B,37
Mortgage,7.88,15000,Personal,Approved,7.0,3,23,65004,Excellent,No,0.23,B,47
Renter,,4500,Study,Declined,0.0,8,28,54000,Good,Yes,0.08,C,106
Mortgage,12.98,3600,Home Improvement,Declined,4.0,3,25,59000,Good,No,0.06,B,42
Renter,13.23,6500,Business,Approved,6.0,3,23,70000,Good,No,0.09,C,42
Renter,7.9,8000,Health,Approved,3.0,6,33,155000,Excellent,No,0.05,C,74
Mortgage,6.54,20000,Business,Approved,9.0,3,25,90000,Excellent,No,0.22,B,45
Mortgage,7.88,13600,Personal,Approved,15.0,9,31,68000,Excellent,No,0.2,B,112
Renter,15.28,16525,Personal,Approved,4.0,3,25,98400,Fair,Yes,0.17,C,42
Renter,14.65,2500,Debt Consolidation,Approved,14.0,17,47,48000,Good,Yes,0.05,C,210
Renter,14.72,3250,Personal,Approved,4.0,16,39,28800,Good,No,0.11,C,203
Mortgage,13.06,11000,Health,Approved,0.0,9,28,95000,Good,Yes,0.12,B,118
Renter,9.88,14500,Debt Consolidation,Declined,2.0,3,26,36000,Very Good,No,0.4,C,39
Mortgage,7.51,4800,Personal,Approved,5.0,2,24,42500,Excellent,No,0.11,B,30
Renter,8.88,20000,Home Improvement,Declined,10.0,4,25,34000,Very Good,No,0.59,C,57
Renter,5.42,10000,Personal,Approved,4.0,3,23,42000,Excellent,No,0.24,C,44
Mortgage,13.11,19400,Study,Declined,3.0,10,32,64500,Good,Yes,0.3,B,131
Renter,6.91,2500,Personal,Approved,0.0,2,23,25000,Excellent,No,0.1,C,30
Mortgage,7.43,5000,Business,Approved,8.0,6,29,120000,Excellent,No,0.04,B,73
Mortgage,6.54,20000,Debt Consolidation,Approved,13.0,5,34,70000,Excellent,No,0.29,B,69
Renter,15.96,12000,Debt Consolidation,Declined,4.0,7,29,44000,Good,Yes,0.27,C,92
Renter,13.72,5000,Health,Approved,0.0,8,27,30000,Good,No,0.17,C,104
Renter,9.25,8000,Health,Approved,8.0,2,24,30000,Very Good,No,0.27,C,27
Owner,16.4,15000,Debt Consolidation,Declined,6.0,4,24,56972,Poor,No,0.26,A,58
Mortgage,,6000,Health,Approved,5.0,2,22,59000,Excellent,No,0.1,B,30
Mortgage,7.88,10000,Health,Approved,8.0,2,23,120000,Excellent,No,0.08,B,25
Renter,9.99,5500,Debt Consolidation,Approved,15.0,9,30,73000,Very Good,No,0.08,C,117
Renter,8.59,10000,Study,Approved,2.0,2,22,37000,Excellent,No,0.27,C,31
Mortgage,,2500,Health,Approved,,3,22,103000,Excellent,No,0.02,B,39
Mortgage,5.79,8500,Business,Approved,7.0,2,23,71000,Excellent,No,0.12,B,26
Mortgage,7.9,9000,Study,Approved,8.0,5,27,75500,Excellent,No,0.12,B,70
Renter,,8000,Home Improvement,Approved,4.0,8,32,55000,Good,No,0.15,C,101
Renter,9.45,4800,Personal,Approved,2.0,4,25,45000,Very Good,No,0.11,C,54
Renter,14.22,2000,Study,Approved,0.0,3,22,21000,Good,Yes,0.1,C,45
Renter,11.99,2000,Personal,Approved,2.0,4,24,40000,Very Good,No,0.05,C,53
Renter,14.22,9250,Health,Declined,0.0,9,28,19200,Good,No,0.48,C,116
Mortgage,7.4,2100,Business,Approved,8.0,3,24,113000,Excellent,No,0.02,B,42
Renter,11.48,6000,Business,Approved,0.0,2,23,75000,Very Good,No,0.08,C,27
Mortgage,6.03,10000,Debt Consolidation,Approved,8.0,13,36,50000,Excellent,No,0.2,B,163
Renter,7.29,3500,Health,Approved,1.0,3,24,74400,Excellent,No,0.05,C,41
Renter,11.89,6500,Study,Approved,4.0,4,25,84000,Very Good,No,0.08,C,58
Mortgage,10.99,6500,Home Improvement,Approved,1.0,7,30,55000,Very Good,No,0.12,B,88
Mortgage,11.48,21000,Debt Consolidation,Approved,4.0,4,26,75000,Very Good,No,0.28,B,51
Renter,11.71,2400,Study,Approved,,4,25,15648,Very Good,No,0.15,C,55
Renter,11.71,18200,Debt Consolidation,Declined,6.0,3,22,36000,Very Good,No,0.51,C,47
Renter,,10000,Debt Consolidation,Declined,7.0,2,23,27996,Excellent,No,0.36,C,34
Renter,13.22,4800,Business,Approved,2.0,4,24,50000,Good,No,0.1,C,58
Mortgage,16.45,16000,Study,Approved,3.0,3,22,78000,Poor,No,0.21,B,44
Mortgage,13.49,13800,Business,Approved,10.0,2,26,48000,Good,Yes,0.29,B,30
Mortgage,7.29,7500,Study,Approved,13.0,6,32,130000,Excellent,No,0.06,B,83
Mortgage,10.37,4800,Health,Declined,7.0,2,23,49980,Very Good,No,0.1,B,30
Renter,,22000,Health,Approved,0.0,2,24,192000,Good,Yes,0.11,C,28
Owner,14.26,11000,Personal,Approved,5.0,2,22,46976,Good,Yes,0.23,A,25
Mortgage,15.99,8400,Health,Declined,13.0,9,32,91800,Fair,No,0.08,B,111
Renter,8.49,15000,Study,Declined,6.0,8,27,41000,Excellent,No,0.37,C,100
Renter,12.61,14000,Health,Approved,2.0,2,24,56004,Good,No,0.25,C,30
Mortgage,10.62,3000,Health,Approved,2.0,17,40,53000,Very Good,No,0.06,B,207
Renter,13.11,11100,Debt Consolidation,Approved,2.0,2,25,45000,Good,No,0.25,C,30
Renter,8.07,4000,Debt Consolidation,Approved,4.0,10,32,21600,Excellent,No,0.19,C,125
Renter,15.65,15000,Home Improvement,Declined,2.0,3,23,36500,Fair,No,0.41,C,44
Renter,10.99,5325,Business,Approved,0.0,7,34,25000,Very Good,No,0.21,C,87
Mortgage,10.37,9600,Personal,Approved,2.0,4,24,85000,Very Good,No,0.11,B,59
Renter,7.51,10200,Home Improvement,Approved,3.0,13,36,132000,Excellent,No,0.08,C,157
Renter,15.31,12875,Study,Declined,0.0,2,21,44000,Fair,No,0.29,C,35
Mortgage,8.0,6500,Health,Approved,11.0,6,27,123996,Excellent,No,0.05,B,73
Renter,16.29,1200,Study,Approved,6.0,5,31,42000,Fair,Yes,0.03,C,69
Renter,11.14,16000,Debt Consolidation,Approved,2.0,3,23,77000,Very Good,No,0.21,C,41
Mortgage,13.23,5000,Business,Declined,6.0,12,41,54000,Good,No,0.09,B,151
Mortgage,5.42,4500,Personal,Approved,13.0,9,29,99000,Excellent,No,0.05,B,119
Renter,10.99,9000,Study,Approved,9.0,4,25,55000,Very Good,No,0.16,C,52
Renter,,4000,Debt Consolidation,Declined,2.0,11,50,19200,Very Poor,No,0.21,C,136
Renter,9.99,5000,Business,Approved,3.0,3,22,36996,Very Good,No,0.14,C,44
Unknown,12.21,16000,Business,Approved,0.0,4,23,58000,Very Good,No,0.28,D,54
Renter,16.89,3000,Debt Consolidation,Declined,5.0,4,23,72000,Fair,Yes,0.04,C,50
Renter,7.29,1500,Health,Approved,0.0,16,40,22800,Excellent,No,0.07,C,197
Mortgage,12.84,2500,Health,Approved,18.0,14,40,43000,Good,No,0.06,B,177
Mortgage,13.47,20000,Business,Approved,3.0,2,25,160000,Good,Yes,0.13,B,32
Renter,13.85,16000,Health,Declined,8.0,3,24,51000,Good,No,0.31,C,43
Renter,7.49,8000,Personal,Approved,5.0,6,31,36996,Excellent,No,0.22,C,79
Mortgage,,10000,Study,Approved,7.0,2,23,74000,Very Good,No,0.14,B,35
Renter,13.47,10000,Health,Approved,4.0,13,36,54996,Good,No,0.18,C,161
Renter,11.83,15000,Business,Declined,7.0,4,23,42000,Very Good,No,0.36,C,58
Renter,14.74,1200,Study,Declined,0.0,17,39,18300,Fair,No,0.07,C,212
Renter,6.91,15000,Personal,Approved,5.0,10,27,75000,Excellent,No,0.2,C,121
Renter,15.23,2200,Study,Approved,3.0,4,23,24000,Good,Yes,0.09,C,53
Mortgage,6.54,9500,Study,Approved,3.0,2,24,62400,Excellent,No,0.15,B,29
Mortgage,5.99,12000,Debt Consolidation,Approved,10.0,2,26,100000,Excellent,No,0.12,B,30
Mortgage,15.31,15000,Personal,Approved,7.0,4,23,90000,Fair,Yes,0.17,B,58
Owner,7.49,19750,Health,Approved,6.0,8,29,51000,Excellent,No,0.39,A,106
Mortgage,15.28,10000,Debt Consolidation,Declined,2.0,4,21,83004,Fair,No,0.12,B,59
Mortgage,7.51,6250,Home Improvement,Declined,6.0,4,22,32484,Excellent,No,0.19,B,55
Mortgage,10.36,10000,Health,Approved,6.0,4,24,71000,Very Good,No,0.14,B,50
Renter,12.53,20000,Study,Declined,5.0,3,22,51000,Very Good,No,0.39,C,46
Renter,10.99,7000,Personal,Declined,2.0,2,21,30000,Very Good,No,0.23,C,29
Mortgage,8.9,7000,Health,Approved,2.0,3,21,23000,Excellent,No,0.3,B,47
Mortgage,10.99,6000,Personal,Approved,4.0,14,38,85000,Very Good,No,0.07,B,178
Renter,13.47,6000,Business,Approved,6.0,3,23,21996,Good,Yes,0.27,C,39
Renter,15.23,3000,Personal,Approved,,7,28,24000,Good,Yes,0.13,C,92
Renter,5.79,1500,Study,Approved,5.0,3,21,42000,Excellent,No,0.04,C,44
Mortgage,13.16,5800,Personal,Approved,1.0,30,57,53000,Good,No,0.11,B,364
Mortgage,8.63,8000,Personal,Approved,8.0,4,24,54080,Excellent,No,0.15,B,49
Renter,10.38,2800,Study,Approved,5.0,2,23,28800,Very Good,No,0.1,C,34
Mortgage,14.96,1300,Study,Approved,5.0,2,21,46500,Fair,No,0.03,B,31
Renter,12.84,8000,Health,Approved,0.0,6,28,36000,Good,No,0.22,C,81
Mortgage,16.49,10000,Health,Declined,6.0,6,27,42200,Fair,Yes,0.24,B,74
Renter,10.65,6000,Personal,Approved,6.0,2,26,26400,Very Good,No,0.23,C,33
Renter,8.49,6000,Health,Approved,2.0,6,29,75000,Excellent,No,0.08,C,73
Renter,8.9,3000,Personal,Declined,5.0,3,21,12000,Excellent,No,0.25,C,38
Owner,6.99,12000,Business,Approved,4.0,8,29,66500,Excellent,No,0.18,A,99
Renter,11.49,16000,Business,Declined,3.0,2,25,43000,Very Good,No,0.37,C,33
Mortgage,,20000,Study,Approved,3.0,4,23,85000,Good,Yes,0.24,B,56
Renter,13.06,10000,Study,Declined,0.0,7,33,29000,Good,Yes,0.34,C,88
Renter,7.88,4500,Personal,Approved,5.0,5,29,28800,Excellent,No,0.16,C,66
Mortgage,,4200,Health,Approved,3.0,13,36,828000,Very Good,No,0.01,B,158
Mortgage,12.69,5000,Study,Approved,1.0,3,26,110000,Very Good,No,0.05,B,37
Owner,13.35,5000,Health,Approved,3.0,12,43,50000,Good,Yes,0.1,A,155
Renter,13.16,8500,Health,Approved,0.0,4,23,32000,Good,Yes,0.27,C,50
Mortgage,12.53,25000,Business,Approved,7.0,2,23,84000,Very Good,No,0.3,B,29
Renter,14.59,3525,Business,Approved,5.0,3,24,36000,Fair,Yes,0.1,C,37
Mortgage,11.99,21000,Home Improvement,Approved,12.0,6,28,215662,Very Good,No,0.1,B,76
Owner,13.49,2400,Debt Consolidation,Declined,0.0,2,23,12996,Good,Yes,0.18,A,25
Renter,8.0,9000,Study,Approved,9.0,4,26,51840,Excellent,No,0.17,C,51
Renter,12.99,6000,Personal,Approved,6.0,3,22,69528,Good,Yes,0.09,C,41
Renter,14.91,7875,Personal,Declined,0.0,2,22,32000,Fair,No,0.25,C,31
Renter,12.42,8000,Home Improvement,Declined,4.0,2,24,29000,Very Good,No,0.28,C,33
Owner,14.74,2500,Study,Approved,1.0,10,31,17676,Fair,No,0.14,A,122
Mortgage,14.22,8000,Personal,Approved,2.0,7,29,134000,Good,No,0.06,B,85
Renter,14.65,2800,Business,Approved,,3,26,30000,Good,Yes,0.09,C,39
Renter,10.62,10000,Study,Approved,3.0,3,21,36000,Very Good,No,0.28,C,47
Owner,13.47,15000,Business,Approved,1.0,9,28,42000,Good,No,0.36,A,118
Renter,9.63,14000,Debt Consolidation,Approved,2.0,6,29,125000,Excellent,No,0.11,C,76
Mortgage,11.49,3500,Study,Approved,8.0,2,24,71000,Very Good,No,0.05,B,27
Renter,9.25,2000,Health,Approved,2.0,3,25,42000,Very Good,No,0.05,C,37
Renter,11.12,1700,Business,Approved,3.0,8,29,18000,Very Good,No,0.09,C,103
Renter,21.74,6800,Personal,Declined,2.0,4,24,30500,Very Poor,Yes,0.22,C,56
Renter,12.99,5000,Home Improvement,Approved,3.0,4,24,73500,Good,No,0.07,C,58
Renter,6.17,16800,Health,Approved,4.0,4,26,97000,Excellent,No,0.17,C,54
Mortgage,6.54,15000,Home Improvement,Declined,14.0,6,30,114000,Excellent,No,0.13,B,82
Renter,7.14,10000,Debt Consolidation,Approved,4.0,6,33,51996,Excellent,No,0.19,C,78
Renter,6.91,7000,Study,Approved,3.0,4,22,60000,Excellent,No,0.12,C,56
Renter,7.29,8775,Study,Approved,4.0,2,22,46104,Excellent,No,0.19,C,28
Renter,9.99,15000,Home Improvement,Declined,2.0,4,24,88000,Very Good,No,0.17,C,49
Renter,9.45,14000,Debt Consolidation,Declined,4.0,2,26,42000,Very Good,No,0.33,C,33
Mortgage,19.03,30000,Health,Declined,13.0,17,42,64464,Poor,No,0.4,B,209
Renter,9.25,4800,Health,Approved,1.0,4,26,27880,Very Good,No,0.17,C,53
Mortgage,,10000,Business,Approved,11.0,9,30,106000,Very Poor,No,0.09,B,112
Mortgage,11.36,20150,Personal,Approved,4.0,6,27,75000,Very Good,No,0.27,B,83
Renter,16.49,6600,Business,Declined,0.0,6,31,30000,Fair,Yes,0.22,C,82
Mortgage,8.49,3600,Health,Approved,17.0,10,33,95000,Excellent,No,0.04,B,122
Mortgage,9.63,35000,Study,Approved,12.0,5,28,95000,Very Good,No,0.37,B,68
Renter,12.21,10800,Study,Declined,0.0,14,37,30000,Very Good,No,0.36,C,173
Renter,12.21,2400,Health,Approved,2.0,5,31,34000,Very Good,No,0.07,C,66
